_id,parcel_id,address,zip_code,property_type,create_date,latest_inspection_result,latest_inspection_score,record_number,inspection_status,latitude,longitude,neighborhood,council_district,ward
624750,0004J00093000000,"511 GRACE ST, Pittsburgh, 15211",15211,Condemned/Dead End Property,2026-02-24,Fail,2,0004J00093000000,Active,40.4277502551,-80.0145988493,Mount Washington,2,19
624751,0026K00328000000,"3531 MILWAUKEE ST, Pittsburgh, 15219",15219,Condemned/Dead End Property,2026-09-10,,,0026K00328000000,Active,40.4557137552,-79.9597163172,Upper Hill,6,5
624752,0047E00058000000,"903 MINA ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2026-07-29,Fail,1,0047E00058000000,Active,40.468671946,-79.9990695469,Spring Hill-City View,1,26
624753,0014F00357000000,"836 FREELAND ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2020-08-28,Fail,2,0014F00357000000,Active,40.4189741762,-79.9922420964,Allentown,3,18
624754,0014F00357000000,"836 FREELAND ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2023-10-04,,,0014F00357000000,Active,40.4189741762,-79.9922420964,Allentown,3,18
624755,0014F00357000000,"836 FREELAND ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2023-11-06,Fail,1,0014F00357000000,Active,40.4189741762,-79.9922420964,Allentown,3,18
624756,0046C00247000000,"402 LAWTON AVE, Pittsburgh, 15214",15214,Condemned/Dead End Property,2023-08-16,Pass,0,0046C00247000000,Active,40.4704670567,-80.0067041563,Perry South,6,26
624757,0014K00035000000,"834 LILLIAN ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2020-12-23,Fail,2,0014K00035000000,Active,40.4185793181,-79.9922966119,Allentown,3,18
624758,0075B00238000000,"1807 DAVIS AVE, Pittsburgh, 15212",15212,Condemned/Dead End Property,2021-06-28,Fail,2,0075B00238000000,Active,40.4795437619,-80.0421898878,Brighton Heights,1,27
624759,0015L00057000A00,"70 LAFFERTY AVE, Pittsburgh, 15210",15210,Condemned/Dead End Property,2021-05-20,Fail,2,0015L00057000A00,Active,40.4174644375,-80.0071029588,Beltzhoover,3,18
624760,0174B00227000100,"7331 MOUNT VERNON ST, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2022-05-13,Fail,2,0174B00227000100,Active,40.4606134814,-79.8915660961,Homewood North,9,13
624761,0124P00219000000,"547 LOWELL ST, Pittsburgh, 15206",15206,Condemned/Dead End Property,2024-10-03,Fail,1,0124P00219000000,Active,40.4634436667,-79.9096444312,Larimer,9,12
624762,0022L00353000000,"1022 PENNSYLVANIA AVE, Pittsburgh, 15233",15233,Condemned/Dead End Property,2023-05-30,Fail,1,0022L00353000000,Active,40.4552632428,-80.021165782,Manchester,6,21
624763,0023E00299000000,"719 ARMANDALE ST, Pittsburgh, PA 15212",15212,Condemned/Dead End Property,2020-08-21,Fail,1,0023E00299000000,Active,40.457864566,-80.0155056556,Central Northside,1,25
624764,0174E00227000000,"7207 IDLEWILD ST, Pittsburgh, 15208",15208,Condemned/Dead End Property,2024-06-11,Fail,2,0174E00227000000,Active,40.4582721299,-79.8955377824,Homewood North,9,13
624765,0042N00154000000,"3148 HUXLEY ST, Pittsburgh, 15204",15204,Condemned/Dead End Property,2020-09-01,Fail,2,0042N00154000000,Active,40.454366602,-80.0627327191,Sheraden,2,20
624766,0014C00365000000,"932 MANTON Way, Pittsburgh, 15210",15210,Condemned/Dead End Property,2023-12-04,Fail,2,0014C00365000000,Active,40.4212205373,-79.9909259791,Allentown,3,18
624767,0013R00268000000,"2435 SPRING ST, Pittsburgh, 15210",15210,Condemned/Dead End Property,2026-08-20,Fail,1,0013R00268000000,Active,40.4162106649,-79.971798236,Arlington,3,16
624768,0174K00236000000,"7504 FELICIA Way, Pittsburgh, PA 15208",15208,Condemned/Dead End Property,2025-10-31,Fail,2,0174K00236000000,Active,40.4557308282,-79.8916720945,Homewood South,9,13
624769,0174E00008000000,"7143 MONTICELLO ST, Pittsburgh, 15208",15208,Condemned/Dead End Property,2023-05-02,Pass,0,0174E00008000000,Active,40.4598545587,-79.8960519702,Homewood North,9,13
